txn_id,settled_amount,settlement_date,bank_ref,settlement_status,bank_name
TXN001,1249.00,2026-07-06,BNKREF1001,settled,HDFC
TXN002,3498.50,2026-07-06,BNKREF1002,settled,ICICI
TXN004,11995.00,2026-07-06,BNKREF1004,settled,AXIS
TXN005,299.00,2026-07-06,BNKREF1005,settled,HDFC
TXN006,5599.75,2026-07-06,BNKREF1006,settled,ICICI
TXN007,1889.25,2026-07-06,BNKREF1007,settled,SBIN
TXN008,999.00,2026-07-06,BNKREF1008,settled,HDFC
TXN010,15990.00,2026-07-06,BNKREF1010,settled,ICICI
TXN011,899.50,2026-07-06,BNKREF1011,settled,AXIS
TXN012,2248.00,2026-07-06,BNKREF1012,settled,ICICI
TXN013,675.25,2026-07-06,BNKREF1013,settled,SBIN
TXN015,1098.00,2026-07-06,BNKREF1015,settled,HDFC
